date	hm	ta
2018-12-10	00:00	6.65
2018-12-10	01:00	6.63
2018-12-10	02:00	6.49
2018-12-10	03:00	6.29
2018-12-10	04:00	5.87
2018-12-10	05:00	5.03
2018-12-10	06:00	4.82
2018-12-10	07:00	4.81
2018-12-10	08:00	5.04
2018-12-10	09:00	5.53
2018-12-10	10:00	5.69
2018-12-10	11:00	6.18
2018-12-10	12:00	6.57
2018-12-10	13:00	7.69
2018-12-10	14:00	7.43
2018-12-10	15:00	6.42
2018-12-10	16:00	5.81
2018-12-10	17:00	5.65
2018-12-10	18:00	5.89
2018-12-10	19:00	6.20
2018-12-10	20:00	5.88
2018-12-10	21:00	5.99
2018-12-10	22:00	5.67
2018-12-10	23:00	4.13
2018-12-11	00:00	3.71
2018-12-11	01:00	3.49
2018-12-11	02:00	3.14
2018-12-11	03:00	3.18
2018-12-11	04:00	2.93
2018-12-11	05:00	2.35
2018-12-11	06:00	1.90
2018-12-11	07:00	1.28
2018-12-11	08:00	.91
2018-12-11	09:00	1.14
2018-12-11	10:00	2.73
2018-12-11	11:00	4.43
2018-12-11	12:00	5.10
2018-12-11	13:00	5.55
2018-12-11	14:00	5.15
2018-12-11	15:00	5.65
2018-12-11	16:00	4.66
2018-12-11	17:00	3.55
2018-12-11	18:00	2.83
2018-12-11	19:00	2.71
2018-12-11	20:00	2.34
2018-12-11	21:00	1.28
2018-12-11	22:00	.59
2018-12-11	23:00	.16
2018-12-12	00:00	-.07
2018-12-12	01:00	-.79
2018-12-12	02:00	-.99
2018-12-12	03:00	-1.24
2018-12-12	04:00	-1.60
2018-12-12	05:00	-2.17
2018-12-12	06:00	-2.49
2018-12-12	07:00	-2.69
2018-12-12	08:00	-2.73
2018-12-12	09:00	-2.04
2018-12-12	10:00	-.58
2018-12-12	11:00	1.41
2018-12-12	12:00	2.29
2018-12-12	13:00	2.58
2018-12-12	14:00	4.00
2018-12-12	15:00	4.42
2018-12-12	16:00	2.21
2018-12-12	17:00	.12
2018-12-12	18:00	-.21
2018-12-12	19:00	-.42
2018-12-12	20:00	-.60
2018-12-12	21:00	-1.15
2018-12-12	22:00	-1.36
2018-12-12	23:00	-1.86
2018-12-13	00:00	-1.96
2018-12-13	01:00	-1.99
2018-12-13	02:00	-2.23
2018-12-13	03:00	-1.96
2018-12-13	04:00	-2.11
2018-12-13	05:00	-2.22
2018-12-13	06:00	-2.42
2018-12-13	07:00	-2.16
2018-12-13	08:00	-2.10
2018-12-13	09:00	-1.85
2018-12-13	10:00	-1.06
2018-12-13	11:00	.27
2018-12-13	12:00	1.76
2018-12-13	13:00	1.97
2018-12-13	14:00	2.35
2018-12-13	15:00	2.20
2018-12-13	16:00	2.03
2018-12-13	17:00	1.54
2018-12-13	18:00	1.35
2018-12-13	19:00	1.28
2018-12-13	20:00	1.04
2018-12-13	21:00	.61
2018-12-13	22:00	.62
2018-12-13	23:00	.17
2018-12-14	00:00	-.14
2018-12-14	01:00	-.20
2018-12-14	02:00	-.28
2018-12-14	03:00	-.82
2018-12-14	04:00	-2.09
2018-12-14	05:00	-2.86
2018-12-14	06:00	-2.64
2018-12-14	07:00	-3.10
2018-12-14	08:00	-3.62
2018-12-14	09:00	-2.97
2018-12-14	10:00	-1.99
2018-12-14	11:00	-1.07
2018-12-14	12:00	-.13
2018-12-14	13:00	.88
2018-12-14	14:00	1.22
2018-12-14	15:00	.89
2018-12-14	16:00	.65
2018-12-14	17:00	.50
2018-12-14	18:00	.39
2018-12-14	19:00	.32
2018-12-14	20:00	.25
2018-12-14	21:00	.10
2018-12-14	22:00	-.14
2018-12-14	23:00	-.29
2018-12-15	00:00	-.14
2018-12-15	01:00	-.23
2018-12-15	02:00	-.19
2018-12-15	03:00	-.25
2018-12-15	04:00	-.34
2018-12-15	05:00	-.34
2018-12-15	06:00	-.46
2018-12-15	07:00	-.40
2018-12-15	08:00	-.62
2018-12-15	09:00	-.72
2018-12-15	10:00	-.38
2018-12-15	11:00	-.21
2018-12-15	12:00	.18
2018-12-15	13:00	.44
2018-12-15	14:00	.06
2018-12-15	15:00	-.06
2018-12-15	16:00	-1.04
2018-12-15	17:00	-2.04
2018-12-15	18:00	-2.29
2018-12-15	19:00	-2.88
2018-12-15	20:00	-2.92
2018-12-15	21:00	-2.74
2018-12-15	22:00	-2.41
2018-12-15	23:00	-2.12
2018-12-16	00:00	-1.63
2018-12-16	01:00	-1.56
2018-12-16	02:00	-1.69
2018-12-16	03:00	-1.24
2018-12-16	04:00	-.97
2018-12-16	05:00	-1.12
2018-12-16	06:00	-.92
2018-12-16	07:00	-.57
2018-12-16	08:00	2.65
2018-12-16	09:00	4.02
2018-12-16	10:00	5.05
2018-12-16	11:00	5.68
2018-12-16	12:00	6.84
2018-12-16	13:00	7.86
2018-12-16	14:00	8.27
2018-12-16	15:00	7.53
2018-12-16	16:00	5.02
2018-12-16	17:00	3.24
2018-12-16	18:00	2.38
2018-12-16	19:00	2.08
2018-12-16	20:00	2.20
2018-12-16	21:00	1.88
2018-12-16	22:00	1.45
2018-12-16	23:00	1.60
2018-12-17	00:00	.93
2018-12-17	01:00	.76
2018-12-17	02:00	1.20
2018-12-17	03:00	1.46
2018-12-17	04:00	1.47
2018-12-17	05:00	1.27
2018-12-17	06:00	1.22
2018-12-17	07:00	1.37
2018-12-17	08:00	.99
2018-12-17	09:00	2.96
2018-12-17	10:00	6.16
2018-12-17	11:00	6.39
2018-12-17	12:00	6.35
2018-12-17	13:00	7.58
2018-12-17	14:00	6.91
2018-12-17	15:00	6.99
2018-12-17	16:00	6.67
2018-12-17	17:00	6.38
2018-12-17	18:00	6.71
2018-12-17	19:00	6.76
2018-12-17	20:00	6.64
2018-12-17	21:00	6.70
2018-12-17	22:00	5.91
2018-12-17	23:00	5.35
2018-12-18	00:00	4.43
2018-12-18	01:00	3.48
2018-12-18	02:00	2.88
2018-12-18	03:00	2.13
2018-12-18	04:00	1.42
2018-12-18	05:00	1.42
2018-12-18	06:00	1.12
2018-12-18	07:00	1.14
2018-12-18	08:00	.26
2018-12-18	09:00	-.40
2018-12-18	10:00	.59
2018-12-18	11:00	2.41
2018-12-18	12:00	3.45
2018-12-18	13:00	5.11
2018-12-18	14:00	5.87
2018-12-18	15:00	5.14
2018-12-18	16:00	3.51
2018-12-18	17:00	1.93
2018-12-18	18:00	1.38
2018-12-18	19:00	.91
2018-12-18	20:00	.28
2018-12-18	21:00	.10
2018-12-18	22:00	.27
2018-12-18	23:00	-.16
2018-12-19	00:00	.33
2018-12-19	01:00	.60
2018-12-19	02:00	.77
2018-12-19	03:00	1.64
2018-12-19	04:00	3.13
2018-12-19	05:00	4.86
2018-12-19	06:00	4.86
2018-12-19	07:00	9.70
2018-12-19	08:00	9.63
2018-12-19	09:00	9.94
2018-12-19	10:00	9.44
2018-12-19	11:00	9.15
2018-12-19	12:00	9.28
2018-12-19	13:00	9.74
2018-12-19	14:00	10.14
2018-12-19	15:00	9.40
2018-12-19	16:00	7.71
2018-12-19	17:00	6.73
2018-12-19	18:00	6.48
2018-12-19	19:00	6.27
2018-12-19	20:00	6.90
2018-12-19	21:00	7.38
2018-12-19	22:00	7.67
2018-12-19	23:00	8.09
2018-12-20	00:00	7.77
2018-12-20	01:00	7.88
2018-12-20	02:00	7.94
2018-12-20	03:00	7.94
2018-12-20	04:00	7.96
2018-12-20	05:00	7.85
2018-12-20	06:00	7.41
2018-12-20	07:00	7.36
2018-12-20	08:00	7.22
2018-12-20	09:00	7.28
2018-12-20	10:00	8.09
2018-12-20	11:00	8.49
2018-12-20	12:00	8.95
2018-12-20	13:00	8.78
2018-12-20	14:00	8.55
2018-12-20	15:00	7.76
2018-12-20	16:00	7.05
2018-12-20	17:00	7.18
2018-12-20	18:00	7.64
2018-12-20	19:00	7.99
2018-12-20	20:00	8.08
2018-12-20	21:00	8.08
2018-12-20	22:00	7.98
2018-12-20	23:00	8.38
2018-12-21	00:00	8.58
2018-12-21	01:00	8.89
2018-12-21	02:00	8.85
2018-12-21	03:00	8.81
2018-12-21	04:00	9.43
2018-12-21	05:00	10.20
2018-12-21	06:00	11.10
2018-12-21	07:00	10.72
2018-12-21	08:00	10.48
2018-12-21	09:00	9.75
2018-12-21	10:00	11.28
2018-12-21	11:00	11.12
2018-12-21	12:00	11.44
2018-12-21	13:00	11.06
2018-12-21	14:00	11.21
2018-12-21	15:00	11.62
2018-12-21	16:00	11.56
2018-12-21	17:00	11.52
2018-12-21	18:00	11.65
2018-12-21	19:00	11.85
2018-12-21	20:00	11.83
2018-12-21	21:00	11.95
2018-12-21	22:00	12.12
2018-12-21	23:00	12.48
2018-12-22	00:00	12.79
2018-12-22	01:00	13.04
2018-12-22	02:00	13.14
2018-12-22	03:00	13.00
2018-12-22	04:00	12.66
2018-12-22	05:00	12.46
2018-12-22	06:00	12.33
2018-12-22	07:00	11.95
2018-12-22	08:00	11.38
2018-12-22	09:00	11.73
2018-12-22	10:00	11.84
2018-12-22	11:00	11.93
2018-12-22	12:00	11.73
2018-12-22	13:00	11.82
2018-12-22	14:00	12.05
2018-12-22	15:00	12.04
2018-12-22	16:00	11.39
2018-12-22	17:00	11.05
2018-12-22	18:00	11.03
2018-12-22	19:00	10.79
2018-12-22	20:00	10.16
2018-12-22	21:00	10.19
2018-12-22	22:00	10.05
2018-12-22	23:00	10.46
2018-12-23	00:00	10.50
2018-12-23	01:00	10.29
2018-12-23	02:00	10.11
2018-12-23	03:00	10.00
2018-12-23	04:00	9.91
2018-12-23	05:00	9.92
2018-12-23	06:00	9.88
2018-12-23	07:00	9.90
2018-12-23	08:00	9.96
2018-12-23	09:00	10.06
2018-12-23	10:00	10.26
2018-12-23	11:00	10.29
2018-12-23	12:00	9.70
2018-12-23	13:00	9.70
2018-12-23	14:00	11.01
2018-12-23	15:00	11.34
2018-12-23	16:00	11.62
2018-12-23	17:00	12.06
2018-12-23	18:00	12.13
2018-12-23	19:00	12.25
2018-12-23	20:00	12.40
2018-12-23	21:00	12.50
2018-12-23	22:00	12.58
2018-12-23	23:00	12.62
2018-12-24	00:00	12.71
2018-12-24	01:00	12.65
2018-12-24	02:00	12.41
2018-12-24	03:00	12.26
2018-12-24	04:00	12.24
2018-12-24	05:00	10.52
2018-12-24	06:00	8.81
2018-12-24	07:00	8.20
2018-12-24	08:00	7.22
2018-12-24	09:00	6.79
2018-12-24	10:00	6.64
2018-12-24	11:00	6.54
2018-12-24	12:00	6.92
2018-12-24	13:00	7.08
2018-12-24	14:00	6.91
2018-12-24	15:00	6.67
2018-12-24	16:00	5.67
2018-12-24	17:00	3.91
2018-12-24	18:00	3.26
2018-12-24	19:00	2.80
2018-12-24	20:00	2.67
2018-12-24	21:00	1.97
2018-12-24	22:00	1.43
2018-12-24	23:00	1.58
2018-12-25	00:00	1.49
2018-12-25	01:00	.72
2018-12-25	02:00	.04
2018-12-25	03:00	-.19
2018-12-25	04:00	-.86
2018-12-25	05:00	-1.18
2018-12-25	06:00	-1.46
2018-12-25	07:00	-1.89
2018-12-25	08:00	-2.24
2018-12-25	09:00	-2.41
2018-12-25	10:00	-2.17
2018-12-25	11:00	-1.47
2018-12-25	12:00	-1.12
2018-12-25	13:00	-.70
2018-12-25	14:00	-.32
2018-12-25	15:00	-.33
2018-12-25	16:00	-.43
2018-12-25	17:00	-.52
2018-12-25	18:00	-.59
2018-12-25	19:00	-.66
2018-12-25	20:00	-.60
2018-12-25	21:00	-.92
2018-12-25	22:00	-1.14
2018-12-25	23:00	-1.12
2018-12-26	00:00	-1.38
2018-12-26	01:00	-1.61
2018-12-26	02:00	-1.68
2018-12-26	03:00	-1.81
2018-12-26	04:00	-1.86
2018-12-26	05:00	-2.11
2018-12-26	06:00	-2.22
2018-12-26	07:00	-2.73
2018-12-26	08:00	-3.04
2018-12-26	09:00	-3.00
2018-12-26	10:00	-2.32
2018-12-26	11:00	-2.00
2018-12-26	12:00	-1.94
2018-12-26	13:00	-1.76
2018-12-26	14:00	-1.63
2018-12-26	15:00	-1.69
2018-12-26	16:00	-1.67
2018-12-26	17:00	-1.62
2018-12-26	18:00	-1.66
2018-12-26	19:00	-1.75
2018-12-26	20:00	-1.76
2018-12-26	21:00	-2.07
2018-12-26	22:00	-2.40
2018-12-26	23:00	-2.71
2018-12-27	00:00	-2.86
2018-12-27	01:00	-2.80
2018-12-27	02:00	-2.94
2018-12-27	03:00	-2.96
2018-12-27	04:00	-3.02
2018-12-27	05:00	-3.12
2018-12-27	06:00	-3.35
2018-12-27	07:00	-3.21
2018-12-27	08:00	-3.23
2018-12-27	09:00	-3.34
2018-12-27	10:00	-2.93
2018-12-27	11:00	-2.35
2018-12-27	12:00	-1.01
2018-12-27	13:00	-.58
2018-12-27	14:00	-.65
2018-12-27	15:00	-.11
2018-12-27	16:00	.08
2018-12-27	17:00	-.34
2018-12-27	18:00	-.64
2018-12-27	19:00	-.85
2018-12-27	20:00	-.70
2018-12-27	21:00	-.74
2018-12-27	22:00	-1.05
2018-12-27	23:00	-.98
2018-12-28	00:00	-.72
2018-12-28	01:00	-.43
2018-12-28	02:00	-.19
2018-12-28	03:00	-.31
2018-12-28	04:00	-.12
2018-12-28	05:00	-.32
2018-12-28	06:00	-.72
2018-12-28	07:00	-.66
2018-12-28	08:00	-.51
2018-12-28	09:00	-.41
2018-12-28	10:00	.46
2018-12-28	11:00	.80
2018-12-28	12:00	.89
2018-12-28	13:00	.75
2018-12-28	14:00	1.13
2018-12-28	15:00	1.51
2018-12-28	16:00	1.41
2018-12-28	17:00	1.18
2018-12-28	18:00	.98
2018-12-28	19:00	.78
2018-12-28	20:00	.91
2018-12-28	21:00	.85
2018-12-28	22:00	.63
2018-12-28	23:00	.57
2018-12-29	00:00	.70
2018-12-29	01:00	.68
2018-12-29	02:00	.78
2018-12-29	03:00	.78
2018-12-29	04:00	.65
2018-12-29	05:00	.52
2018-12-29	06:00	.61
2018-12-29	07:00	.49
2018-12-29	08:00	.50
2018-12-29	09:00	.60
2018-12-29	10:00	.75
2018-12-29	11:00	.92
2018-12-29	12:00	1.18
2018-12-29	13:00	1.43
2018-12-29	14:00	1.32
2018-12-29	15:00	1.28
2018-12-29	16:00	1.06
2018-12-29	17:00	.91
2018-12-29	18:00	.53
2018-12-29	19:00	.89
2018-12-29	20:00	.56
2018-12-29	21:00	.59
2018-12-29	22:00	.86
2018-12-29	23:00	1.15
2018-12-30	00:00	1.29
2018-12-30	01:00	1.47
2018-12-30	02:00	2.09
2018-12-30	03:00	1.76
2018-12-30	04:00	2.24
2018-12-30	05:00	2.96
2018-12-30	06:00	3.29
2018-12-30	07:00	3.25
2018-12-30	08:00	3.19
2018-12-30	09:00	3.16
2018-12-30	10:00	3.22
2018-12-30	11:00	3.86
2018-12-30	12:00	4.25
2018-12-30	13:00	4.56
2018-12-30	14:00	4.80
2018-12-30	15:00	4.79
2018-12-30	16:00	4.62
2018-12-30	17:00	4.13
2018-12-30	18:00	3.84
2018-12-30	19:00	3.82
2018-12-30	20:00	3.96
2018-12-30	21:00	4.04
2018-12-30	22:00	4.13
2018-12-30	23:00	3.89
2018-12-31	00:00	4.11
2018-12-31	01:00	3.96
2018-12-31	02:00	3.90
2018-12-31	03:00	3.94
2018-12-31	04:00	4.10
2018-12-31	05:00	4.11
2018-12-31	06:00	4.14
2018-12-31	07:00	4.27
2018-12-31	08:00	4.25
2018-12-31	09:00	4.67
2018-12-31	10:00	5.12
2018-12-31	11:00	5.32
2018-12-31	12:00	5.82
2018-12-31	13:00	6.51
2018-12-31	14:00	6.49
2018-12-31	15:00	6.44
2018-12-31	16:00	6.48
2018-12-31	17:00	6.33
2018-12-31	18:00	6.18
2018-12-31	19:00	6.02
2018-12-31	20:00	6.01
2018-12-31	21:00	6.02
2018-12-31	22:00	5.96
2018-12-31	23:00	5.85
2019-01-01	00:00	5.75
2019-01-01	01:00	5.71
2019-01-01	02:00	5.72
2019-01-01	03:00	5.49
2019-01-01	04:00	5.41
2019-01-01	05:00	5.46
2019-01-01	06:00	5.68
2019-01-01	07:00	5.53
2019-01-01	08:00	5.21
2019-01-01	09:00	5.20
2019-01-01	10:00	5.31
2019-01-01	11:00	5.29
2019-01-01	12:00	5.16
2019-01-01	13:00	5.72
2019-01-01	14:00	6.10
2019-01-01	15:00	6.11
2019-01-01	16:00	5.99
2019-01-01	17:00	5.68
2019-01-01	18:00	5.73
2019-01-01	19:00	5.73
2019-01-01	20:00	5.44
2019-01-01	21:00	5.27
2019-01-01	22:00	4.99
2019-01-01	23:00	4.98
2019-01-02	00:00	4.87
2019-01-02	01:00	4.85
2019-01-02	02:00	4.18
2019-01-02	03:00	2.87
2019-01-02	04:00	3.47
2019-01-02	05:00	2.42
2019-01-02	06:00	1.61
2019-01-02	07:00	1.25
2019-01-02	08:00	1.38
2019-01-02	09:00	1.78
2019-01-02	10:00	2.91
2019-01-02	11:00	3.59
2019-01-02	12:00	3.94
2019-01-02	13:00	4.34
2019-01-02	14:00	4.89
2019-01-02	15:00	4.35
2019-01-02	16:00	3.68
2019-01-02	17:00	3.45
2019-01-02	18:00	3.21
2019-01-02	19:00	3.03
2019-01-02	20:00	2.74
2019-01-02	21:00	2.31
2019-01-02	22:00	1.62
2019-01-02	23:00	.59
2019-01-03	00:00	-.49
2019-01-03	01:00	-.96
2019-01-03	02:00	-1.25
2019-01-03	03:00	-1.62
2019-01-03	04:00	-2.06
2019-01-03	05:00	-2.03
2019-01-03	06:00	-2.44
2019-01-03	07:00	-2.67
2019-01-03	08:00	-2.84
2019-01-03	09:00	-2.56
2019-01-03	10:00	-1.20
2019-01-03	11:00	.73
2019-01-03	12:00	1.62
2019-01-03	13:00	1.71
2019-01-03	14:00	1.96
2019-01-03	15:00	1.98
2019-01-03	16:00	1.64
2019-01-03	17:00	1.32
2019-01-03	18:00	1.10
2019-01-03	19:00	1.00
2019-01-03	20:00	.56
2019-01-03	21:00	.56
2019-01-03	22:00	.35
2019-01-03	23:00	-.18
2019-01-04	00:00	.10
2019-01-04	01:00	.12
2019-01-04	02:00	.09
2019-01-04	03:00	-.19
2019-01-04	04:00	-.74
2019-01-04	05:00	-1.05
2019-01-04	06:00	-1.25
2019-01-04	07:00	-1.63
2019-01-04	08:00	-1.88
2019-01-04	09:00	-1.47
2019-01-04	10:00	-.26
2019-01-04	11:00	1.29
2019-01-04	12:00	2.00
2019-01-04	13:00	2.75
2019-01-04	14:00	2.92
2019-01-04	15:00	2.69
2019-01-04	16:00	2.15
2019-01-04	17:00	1.23
2019-01-04	18:00	1.05
2019-01-04	19:00	1.11
2019-01-04	20:00	.95
2019-01-04	21:00	.99
2019-01-04	22:00	1.58
2019-01-04	23:00	1.61
2019-01-05	00:00	1.44
2019-01-05	01:00	1.22
2019-01-05	02:00	1.34
2019-01-05	03:00	1.26
2019-01-05	04:00	1.22
2019-01-05	05:00	1.25
2019-01-05	06:00	1.23
2019-01-05	07:00	1.08
2019-01-05	08:00	.64
2019-01-05	09:00	.87
2019-01-05	10:00	1.33
2019-01-05	11:00	1.67
2019-01-05	12:00	1.77
2019-01-05	13:00	1.83
2019-01-05	14:00	1.74
2019-01-05	15:00	2.28
2019-01-05	16:00	2.65
2019-01-05	17:00	2.49
2019-01-05	18:00	2.32
2019-01-05	19:00	2.57
2019-01-05	20:00	2.67
2019-01-05	21:00	2.70
2019-01-05	22:00	2.87
2019-01-05	23:00	3.14
2019-01-06	00:00	3.23
2019-01-06	01:00	3.38
2019-01-06	02:00	3.28
2019-01-06	03:00	3.00
2019-01-06	04:00	3.00
2019-01-06	05:00	3.00
2019-01-06	06:00	3.00
2019-01-06	07:00	2.88
2019-01-06	08:00	2.73
2019-01-06	09:00	2.94
2019-01-06	10:00	3.57
2019-01-06	11:00	4.10
2019-01-06	12:00	3.98
2019-01-06	13:00	3.85
2019-01-06	14:00	3.63
2019-01-06	15:00	3.50
2019-01-06	16:00	3.27
2019-01-06	17:00	3.16
2019-01-06	18:00	2.96
2019-01-06	19:00	2.91
2019-01-06	20:00	2.89
2019-01-06	21:00	2.91
2019-01-06	22:00	2.91
2019-01-06	23:00	2.88